match_id,home,away,fact_type,value,numeric_value,team,player,source_title,source_url,source_domain,confidence,extracted_at
537335,Switzerland,Bosnia-Herzegovina,source_note,"Group B Preview: Canada, Bosnia & Herzegovina, Qatar, Switzerland Group B Preview: Canada, Bosnia & Herzegovina, Qatar, Switzerland. ## Alexi Lalas and David Mosse continue their World Cup Previews, this time diving into co-host Canada’s gr",,,,"Group B Preview: Canada, Bosnia & Herzegovina, Qatar, Switzerland",https://www.foxsports.com/watch/fmc-ass7mf140m63jo3v,foxsports.com,0.35,2026-06-18T18:41:35.482321+00:00
537413,Panama,England,market_consensus,"2026 World Cup Group L Preview: England, Croatia, Ghana ... # 2026 World Cup Group L Preview: England, Croatia, Ghana and Panama Lineups, Odds, Predictions and Tactics. Your complete 2026 World Cup Group L breakdown: England, Croatia, Ghana",,,,"2026 World Cup Group L Preview: England, Croatia, Ghana ...",https://www.rotowire.com/soccer/article/2026-world-cup-group-l-preview-england-croatia-ghana-and-panama-lineups-odds-predictions-and-tactics-113532,rotowire.com,0.35,2026-06-18T18:48:05.036583+00:00
537413,Panama,England,lineup,"2026 World Cup Group L Preview: England, Croatia, Ghana ... # 2026 World Cup Group L Preview: England, Croatia, Ghana and Panama Lineups, Odds, Predictions and Tactics. Your complete 2026 World Cup Group L breakdown: England, Croatia, Ghana",,Panama,,"2026 World Cup Group L Preview: England, Croatia, Ghana ...",https://www.rotowire.com/soccer/article/2026-world-cup-group-l-preview-england-croatia-ghana-and-panama-lineups-odds-predictions-and-tactics-113532,rotowire.com,0.35,2026-06-18T18:48:05.036768+00:00
537413,Panama,England,tactical_note,"2026 World Cup Group L Preview: England, Croatia, Ghana ... # 2026 World Cup Group L Preview: England, Croatia, Ghana and Panama Lineups, Odds, Predictions and Tactics. Your complete 2026 World Cup Group L breakdown: England, Croatia, Ghana",,Panama,,"2026 World Cup Group L Preview: England, Croatia, Ghana ...",https://www.rotowire.com/soccer/article/2026-world-cup-group-l-preview-england-croatia-ghana-and-panama-lineups-odds-predictions-and-tactics-113532,rotowire.com,0.35,2026-06-18T18:48:05.036944+00:00
537413,Panama,England,source_note,"2026 World Cup Group L Preview: England, Croatia, Ghana ... # 2026 World Cup Group L Preview: England, Croatia, Ghana and Panama Lineups, Odds, Predictions and Tactics. Your complete 2026 World Cup Group L breakdown: England, Croatia, Ghana",,,,"2026 World Cup Group L Preview: England, Croatia, Ghana ...",https://www.rotowire.com/soccer/article/2026-world-cup-group-l-preview-england-croatia-ghana-and-panama-lineups-odds-predictions-and-tactics-113532,rotowire.com,0.35,2026-06-18T18:48:05.027872+00:00
537413,Panama,England,market_consensus,"Panama to Win World Cup Odds: 2026 Predictions and Value Bets | Juvefc.com # Panama World Cup 2026 Odds, Predictions & Best Bets. Panama arrive at the 2026 World Cup ranked 38th in the outright winner market, priced at around 1500/1 with th",,,,Panama to Win World Cup Odds: 2026 Predictions and Value Bets | Juvefc.com,https://www.juvefc.com/panama-world-cup-odds-predictions,juvefc.com,0.35,2026-06-18T18:48:05.028511+00:00
537413,Panama,England,source_note,"Panama to Win World Cup Odds: 2026 Predictions and Value Bets | Juvefc.com # Panama World Cup 2026 Odds, Predictions & Best Bets. Panama arrive at the 2026 World Cup ranked 38th in the outright winner market, priced at around 1500/1 with th",,,,Panama to Win World Cup Odds: 2026 Predictions and Value Bets | Juvefc.com,https://www.juvefc.com/panama-world-cup-odds-predictions,juvefc.com,0.35,2026-06-18T18:48:05.028835+00:00
537413,Panama,England,market_consensus,"Group L Preview & Fantasy Strategy: England, Croatia, Ghana & Panama | FIFA World Cup 2026 Group L Preview & Fantasy Strategy: England, Croatia, Ghana & Panama | FIFA World Cup 2026 Football Chatbox 2700 subscribers 4 likes 85 views 9 Jun 2",,,,"Group L Preview & Fantasy Strategy: England, Croatia, Ghana & Panama | FIFA World Cup 2026",https://www.youtube.com/watch?v=F7o8SJs5kE8,youtube.com,0.35,2026-06-18T18:48:05.030638+00:00
537413,Panama,England,source_note,"Group L Preview & Fantasy Strategy: England, Croatia, Ghana & Panama | FIFA World Cup 2026 Group L Preview & Fantasy Strategy: England, Croatia, Ghana & Panama | FIFA World Cup 2026 Football Chatbox 2700 subscribers 4 likes 85 views 9 Jun 2",,,,"Group L Preview & Fantasy Strategy: England, Croatia, Ghana & Panama | FIFA World Cup 2026",https://www.youtube.com/watch?v=F7o8SJs5kE8,youtube.com,0.35,2026-06-18T18:48:05.031070+00:00
537413,Panama,England,source_note,World Cup predictions: Picking the winner in every game of the entire tournament - ESPN [Menu](https://www.espn.co.uk/football/story/_/id/48962628/world-cup-predictions-picking-winner-every-game-entire-tournament#). * [](https://www.espn.co,,,,World Cup predictions: Picking the winner in every game of the entire tournament - ESPN,https://www.espn.co.uk/football/story/_/id/48962628/world-cup-predictions-picking-winner-every-game-entire-tournament,espn.co.uk,0.35,2026-06-18T18:48:05.034151+00:00
